hash "#⃣ "
keycap_star "*⃣ "
zero "0⃣ "
one "1⃣ "
two "2⃣ "
three "3⃣ "
four "4⃣ "
five "5⃣ "
six "6⃣ "
seven "7⃣ "
eight "8⃣ "
nine "9⃣ "
copyright "© "
registered "® "
bangbang "‼ "
interrobang "⁉ "
tm "™ "
information_source "ℹ "
left_right_arrow "↔ "
arrow_up_down "↕ "
arrow_upper_left "↖ "
arrow_upper_right "↗ "
arrow_lower_right "↘ "
arrow_lower_left "↙ "
leftwards_arrow_with_hook "↩ "
arrow_right_hook "↪ "
watch "⌚ "
hourglass "⌛ "
keyboard "⌨ "
fast_forward "⏩ "
rewind "⏪ "
arrow_double_up "⏫ "
arrow_double_down "⏬ "
black_right_pointing_double_triangle_with_vertical_bar "⏭ "
black_left_pointing_double_triangle_with_vertical_bar "⏮ "
black_right_pointing_triangle_with_double_vertical_bar "⏯ "
alarm_clock "⏰ "
stopwatch "⏱ "
timer_clock "⏲ "
hourglass_flowing_sand "⏳ "
double_vertical_bar "⏸ "
black_square_for_stop "⏹ "
black_circle_for_record "⏺ "
m "Ⓜ "
black_small_square "▪ "
white_small_square "▫ "
arrow_forward "▶ "
arrow_backward "◀ "
white_medium_square "◻ "
white_square "◻️ "
black_medium_square "◼ "
black_square "◼ "
white_medium_small_square "◽ "
black_medium_small_square "◾ "
sunny "☀ "
cloud "☁ "
comet "☄ "
telephone "☎ "
phone "☎️ "
ballot_box_with_check "☑ "
umbrella "☔ "
coffee "☕ "
shamrock "☘ "
point_up "☝ "
skull_and_crossbones "☠ "
radioactive_sign "☢ "
biohazard_sign "☣ "
orthodox_cross "☦ "
star_and_crescent "☪ "
peace_symbol "☮ "
yin_yang "☯ "
wheel_of_dharma "☸ "
white_frowning_face "☹ "
relaxed "☺ "
aries "♈ "
taurus "♉ "
gemini "♊ "
cancer "♋ "
leo "♌ "
virgo "♍ "
libra "♎ "
scorpius "♏ "
sagittarius "♐ "
capricorn "♑ "
aquarius "♒ "
pisces "♓ "
spades "♠ "
clubs "♣ "
hearts "♥ "
diamonds "♦ "
hotsprings "♨ "
recycle "♻ "
wheelchair "♿ "
hammer_and_pick "⚒ "
anchor "⚓ "
crossed_swords "⚔ "
scales "⚖ "
alembic "⚗ "
gear "⚙ "
atom_symbol "⚛ "
fleur_de_lis "⚜ "
warning "⚠ "
zap "⚡ "
white_circle "⚪ "
black_circle "⚫ "
coffin "⚰ "
funeral_urn "⚱ "
soccer "⚽ "
baseball "⚾ "
snowman "⛄ "
barely_sunny "⛅ "
partly_sunny "⛅ "
sun_behind_cloud "⛅ "
thunder_cloud_and_rain "⛈ "
ophiuchus "⛎ "
pick "⛏ "
helmet_with_white_cross "⛑ "
chains "⛓ "
no_entry "⛔ "
shinto_shrine "⛩ "
church "⛪ "
mountain "⛰ "
umbrella_on_ground "⛱ "
fountain "⛲ "
golf "⛳ "
ferry "⛴ "
boat "⛵ "
sailboat "⛵ "
skier "⛷ "
ice_skate "⛸ "
person_with_ball "⛹ "
tent "⛺ "
fuelpump "⛽ "
scissors "✂ "
white_check_mark "✅ "
airplane "✈ "
envelope "✉ "
fist "✊ "
hand "✋ "
raised_hand "✋ "
v "✌ "
writing_hand "✍ "
pencil2 "✏ "
black_nib "✒ "
heavy_check_mark "✔ "
heavy_multiplication_x "✖ "
latin_cross "✝ "
star_of_david "✡ "
sparkles "✨ "
eight_spoked_asterisk "✳ "
eight_pointed_black_star "✴ "
snowflake "❄ "
sparkle "❇ "
x "❌ "
negative_squared_cross_mark "❎ "
question "❓ "
grey_question "❔ "
grey_exclamation "❕ "
exclamation "❗ "
heavy_exclamation_mark "❗ "
heavy_heart_exclamation_mark_ornament "❣ "
heart "❤ "
